query,clicks,impressions,ctr,position
anos voldigoad,1,1318,0.00076,10.9
bun manga,1,428,0.00234,5.53
david martinez cyberpunk,0,398,0,10.06
mina ashiro,0,350,0,10.9
ken kaneki,0,311,0,13.12
full bloom manga,21,281,0.07473,3.88
gloria martinez,0,262,0,9.49
pairin,0,244,0,7.56
julius novachrono,0,204,0,11.96
kaneki,0,179,0,12.92
will serfort,0,173,0,9.8
henai,3,164,0.01829,5.26
falco grice,0,158,0,9.22
giyuu tomioka,0,144,0,11.68
sia wolcott,4,141,0.02837,3.3
roswaal,0,136,0,9.23
subaru hoshina,0,136,0,10.82
jinshi,0,114,0,10.89
alexia midgar,0,105,0,8.21
togata,0,104,0,10.72
easthies,0,103,0,9.69
gaoshun,0,100,0,7.32
finral black clover,0,96,0,10.51
celliss morton,1,95,0.01053,5.46
yumiella dolkness,0,84,0,9.29
tartah witch hat atelier,0,82,0,8.2
pairin apothecary diaries,0,80,0,7.4
kuroe akaishi,0,78,0,9.72
david martinez,0,77,0,14.66
sanemi shinazugawa,0,76,0,10.99
yuru,0,74,0,10.22
xv manga online,0,73,0,4.04
finral,0,71,0,9.94
frederica re zero,0,71,0,9.77
narnia-koku monogatari: majutsushi no oi,1,69,0.01449,3.22
roswaal re zero,0,66,0,11.06
gabi braun,0,65,0,12.37
easthies witch hat atelier,0,64,0,9.59
iron michael,0,61,0,7.3
arisu alice in borderland,0,59,0,14.31
nomu,0,53,0,15.72
henry henderson,0,52,0,10.73
esil radiru,0,51,0,11.57
gabby daemons of the shadow realm,0,51,0,7.73
sebas overlord,0,51,0,8.67
mina ashiro kaiju,0,50,0,8.08
shallow vernal,0,50,0,8.86
togata fire punch,0,50,0,12.22
dadan one piece,0,49,0,12.69
eiji date,0,49,0,8.59
tomioka demon slayer,0,49,0,11.37
alaira witch hat atelier,0,48,0,10.08
lee sayoung,0,48,0,7.4
melissa moretti,0,47,0,9.23
arataka reigen,0,45,0,14.22
noel stollen,1,44,0.02273,9.05
claire kagenou,0,44,0,10.18
granart needakitta,0,44,0,6.91
tsubaki sawabe,0,44,0,7.2
yoshiki tsujinaka,0,44,0,10.16
gaku sousei,0,43,0,8.05
giyuu,0,41,0,13.44
rafal orb,0,41,0,8.37
apothecary diaries gaoshun,0,40,0,8.12
schierke,0,40,0,10.15
yuuichi katagiri,0,39,0,12.49
olruggio witch hat atelier,0,37,0,9.41
yuru daemons of the shadow realm,0,37,0,9.51
david cyberpunk,0,36,0,11.53
it's strictly business manga,0,35,0,6.97
julius black clover,0,35,0,13.71
damekko mii chan,2,34,0.05882,6.76
schierke berserk,0,34,0,8.32
dorio cyberpunk,0,33,0,11.88
heisuke mashimo,0,33,0,9.27
jin daemons of the shadow realm,0,33,0,9
kento miura,0,33,0,9.42
tetia,0,33,0,14.21
witch hat atelier easthies,0,32,0,10.38
daemons of the shadow realm gabby,0,31,0,8.77
desscaras,0,31,0,9.97
elymas edvan,0,31,0,6.68
gaoshun apothecary diaries,0,31,0,6.45
joshua runcandel,0,31,0,8
tetia witch hat atelier,0,31,0,11.06
asako the summer hikaru died,0,30,0,6.97
chiron runcandel,0,30,0,8.37
gideon ragnason anime,0,30,0,7.63
sanemi,0,30,0,14.33
daemons of the shadow realm yuru,0,29,0,11.86
overlord sebas,0,29,0,10.93
witch hat atelier tartah,0,29,0,7.86
gilda bad born blood,3,28,0.10714,4.07
finral roulacase,0,27,0,8.48
gabby chan daemons of the shadow realm,0,27,0,7.15
monegold,0,27,0,4.3
saitama character,0,27,0,12.44
full bloom manga okinaga,1,26,0.03846,7.58
asa daemons of the shadow realm,0,26,0,7.65
hubert orb,0,26,0,6.96
jolenta orb,0,26,0,7.85
oczy orb,0,26,0,6.5
olruggio,0,26,0,13.69
reigen arataka,0,26,0,14.42
yuzuki nanase,0,26,0,8.04
daemons of the shadow realm asa,0,25,0,7.84
genya height,0,25,0,9.36
illumi zoldyck,0,25,0,18.32
mina kaiju,0,25,0,9.16
olruggio manga,0,25,0,9.64
gloria martinez cyberpunk,0,24,0,9.08
jiruo,0,24,0,9.21
jo gul,0,24,0,4.42
joel gear dr stone,0,24,0,6.46
kagemori jin,0,24,0,7.79
nobisuke nobi,0,24,0,9.92
olruggio birthday,0,24,0,8.62
ppodong,0,24,0,5.96
shinazugawa,0,24,0,13.29
silva zoldyck,0,24,0,19.25
witch hat atelier olruggio,0,24,0,10.17
alma judikhali,0,23,0,6.74
faraday cyberpunk,0,23,0,12.22
gumi chocolate pine,0,23,0,10.09
hidenori tabata,0,23,0,8.83
himizu manga,0,23,0,10.91
isidro berserk,0,23,0,7.7
